Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01510","Potatoes","2022","2022","t","889000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","2351f","Raw cane or beet sugar (centrifugal only)","2022","2022","t","4596.11","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02951.01","Raw hides and skins of cattle","2022","2022","t","12571.1","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02954","Raw hides and skins of goats or kids","2022","2022","t","7108.79","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02953","Raw hides and skins of sheep or lambs","2022","2022","t","16150","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02293","Raw milk of camel","2022","2022","t","6843.86","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02211","Raw milk of cattle","2022","2022","t","1920567.03","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02292","Raw milk of goats","2022","2022","t","117931.67","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02291","Raw milk of sheep","2022","2022","t","193990.39","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","26110","Raw silk (not thrown)","2022","2022","t","50","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0113","Rice","2022","2022","t","592000","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01921.01","Seed cotton, unginned","2022","2022","t","72493","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01444","Sesame seed","2022","2022","t","41871","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21514","Sheep fat, unrendered","2022","2022","t","5737.5","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02941","Shorn wool, greasy, including fleece-washed shorn wool","2022","2022","t","13355.97","E","Estimated value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","02944","Silk-worm cocoons suitable for reeling","2022","2022","t","500","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","22110.02","Skim milk of cows","2022","2022","t","731659.81","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0141","Soya beans","2022","2022","t","2906","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01801","Sugar beet","2022","2022","t","5776","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01802","Sugar cane","2022","2022","t","58394","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01445","Sunflower seed","2022","2022","t","759.92","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","21631.01","Sunflower-seed oil, crude","2022","2022","t","2788.86","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01376","Walnuts, in shell","2022","2022","t","19560","A","Official figure",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","01221","Watermelons","2022","2022","t","891291.27","I","Imputed value",""
"QCL","Crops and livestock products","004","Afghanistan","5510","Production","0111","Wheat","2022","2022","t","3802895","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01341","Apples","2022","2022","t","103645","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01343","Apricots","2022","2022","t","5500","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","0115","Barley","2022","2022","t","19014","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01701","Beans, dry","2022","2022","t","21770","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","24310.01","Beer of barley, malted","2022","2022","t","75000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5510","Production","01702","Broad beans and horse beans, dry","2022","2022","t","207.91","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01243","Broad beans and horse beans, green","2022","2022","t","130.17","E","Estimated value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","22241.01","Butter of cow milk","2022","2022","t","2972.75","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","22230.04","Buttermilk, dry","2022","2022","t","904.38","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01212","Cabbages","2022","2022","t","66696","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01229","Cantaloupes and other melons","2022","2022","t","56420.7","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01251","Carrots and turnips","2022","2022","t","9538.8","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","21512","Cattle fat, unrendered","2022","2022","t","1290.44","I","Imputed value",""
"QCL","Crops and livestock products","008","Albania","5510","Production","01213","Cauliflowers and broccoli","2022","2022","t","7676","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5510","Production","22254","Cheese from milk of goats, fresh or processed","2022","2022","t","1052.09","I","Imputed value",""
